dow,lake_name,between,degree
4005300,south twin,1024,676
21018900,gilbert,838,677
40000100,horseshoe,2282,678
8004500,sleepy eye,682,679
56038700,sybil,758,680
31056500,jay gould,2326,681
26000200,pelican,343,682
60001200,spring,851,683
11028200,man,933,684
11027700,big deep,1003,685
86014800,eagle,2503,686
3030400,big sugar bush,1606,687
11047200,howard,1520,688
31077900,little turtle,1444,689
31002600,twin,4517,690
2013000,pickerel,1771,691
4004200,buck,563,692
56016000,spitzer,1887,693
9003800,hanging horn,3870,694
16014600,east bearskin,422,695
11023400,ponto,2878,695
69058100,lost,357,697
31092100,dixon,662,698
31058600,johnson,1998,699
4012400,sandy,1036,700
31089800,moose,855,701
2008900,round,3419,702
56023800,clitherall,457,703
69069100,johnson,454,704
81005500,reeds,5356,705
31067100,big island,4343,706
4019600,campbell,698,707
31089400,pigeon dam,938,708
34018100,foot,3646,709
69052100,leora,2066,710
18018300,island,2365,711
47010200,round,7429,712
3057900,boyer,1696,713
27007800,staring,1915,714
29006300,hart,2364,715
66002700,circle,8278,716
9006000,island,2605,717
73017200,clear,7391,718
56052300,east loon,764,719
6000100,marsh,143,720
1000100,pine,3023,721
38081000,cedar,491,722
11050500,little wolf,562,723
69000200,seven beaver,370,724
29030900,lasalle,3730,725
44017900,vanose,417,726
61012200,ann,595,727
58004800,oak,2455,728
71014500,julia,3169,729
1005800,vanduse,7331,730
4026500,island,948,731
82009100,battle creek,1647,732
69022300,agnes,604,733
34009600,little kandiyohi,1448,733
69051100,grand,780,735
11003700,leavitt,6354,736
27007600,red rock,1960,737
49005600,round,2709,738
1017000,hanging kettle,3417,739
56031000,walker,1410,740
1007200,rock,2039,741
29008500,second crow wing,1445,742
34024600,east solomon,2574,743
18016500,ross,2205,744
27003900,cedar,759,745
38065600,greenwood,588,746
69052900,strand,2295,747
18028700,greer,3065,747
56025300,eagle,1394,749
31015800,thistledew,587,750
56021300,head,928,751
4014200,marquette,469,752
47006400,erie,4244,753
1018800,blind,4744,754
31033900,pickerel,763,755
86008600,fountain,1306,756
11011600,stevens,2198,757
44000600,bass,793,758
4006300,north twin,601,759
3023400,little bemidji,4207,760
47002300,arvilla,1971,761
4013700,white fish,1456,762
14004900,lee,1151,763
38001400,cramer,829,764
75020000,hattie,3561,765
11050000,spider,1037,766
56022400,silver,960,767
15008100,lomond,785,768
62001300,phalen,901,769
71001300,orono,1417,770
31001600,pancake,1261,771
60001500,whitefish,1118,772
61011100,pelican,728,773
86010700,deer,4112,774
11040000,jack,2821,775
3020000,pine,2019,776
86013900,little mary,3966,777
1021200,moulton,2779,778
56075900,franklin,564,779
31089300,lower pigeon,846,780
69020500,stuart,466,781
11035500,ox yoke,2325,782
14000400,tilde,483,783
1010400,french,749,784
16004900,trout,556,785
38021900,silver island,931,786
11049300,welch,600,787
34006600,long,1285,788
11049400,crooked,373,789
2000800,rice,1754,789
65000600,allie,3799,791
70012000,thole/schneider,716,792
